source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,SummerShred,625,17f99f76-cc03-453f-9108-8cc1fbf7eac7,Vitamin C,2025-07-14,1,3392
Twitter,SummerShred,719,dd0fde94-4485-48d4-bab0-24aae65d3257,Vitamin C,2025-05-29,9,8264
Instagram,PowerBoost,566,a70018ae-70c7-4826-b150-acfddc64ab97,Vitamin C,2025-05-26,12,4895
Twitter,FitJuly,865,71498dbf-9cf5-4731-b77d-ec0d3dfc66ef,Multivitamin,2025-06-14,15,3816
Twitter,SummerShred,931,5af2eaf8-8635-4970-a9e3-d82d041a4d8a,Whey Protein,2025-07-16,11,5803
Facebook,FitJuly,438,3f95ec7c-6ce1-43b8-b0fe-0c78127c7d43,Creatine,2025-06-27,1,6821
Twitter,SummerShred,941,1d400448-85db-42eb-a20b-084794839cf1,Vitamin C,2025-05-18,5,7418
Instagram,SummerShred,618,7a691e67-0851-4b78-8b9e-a3616ca19a09,Creatine,2025-06-14,7,3975
Instagram,FitJuly,520,dba9b65e-b496-453a-bf4e-e6b4a01095cb,Creatine,2025-07-16,17,1376
Twitter,SummerShred,41,80a682a5-b5a6-48f3-b88d-40f60e139987,Whey Protein,2025-04-26,5,957
YouTube,WellnessWave,326,4bc4f963-173f-4613-8412-dde1e6d0bb05,Vitamin C,2025-06-12,13,3317
Facebook,FitJuly,45,455f1438-f78d-4ca9-b5ee-d33f160e1977,Multivitamin,2025-05-30,14,4458
Instagram,WellnessWave,754,7e3d3f4c-fa01-4c6b-b5e0-e666ba882b89,Vitamin C,2025-05-22,8,5615
Facebook,WellnessWave,691,2e27c7ba-2460-49c1-aed5-2359cce6807c,Creatine,2025-07-08,12,2776
Facebook,SummerShred,455,392182b3-3bf9-42f7-8425-ba455c149b70,Vitamin C,2025-05-05,17,1260
Twitter,PowerBoost,404,5266e47e-a80c-4f3d-905f-4ff7c248c554,Multivitamin,2025-06-22,10,8472
Instagram,PowerBoost,863,b51cea9b-865b-4782-84ed-8822ba7cfc7a,Vitamin C,2025-04-23,2,9381
Facebook,SummerShred,294,b6f434d5-3df5-412c-ac35-3889ba2e82ba,Multivitamin,2025-05-02,7,5157
Twitter,FitJuly,384,db029133-df26-4c6a-8ad8-66aad979ee9e,Vitamin C,2025-06-01,14,7002
Instagram,FitJuly,961,484143c4-a40f-486a-a9e9-716ceed33cdb,Multivitamin,2025-06-14,11,4563
Facebook,PowerBoost,344,5312c053-50b4-4f9b-82ef-c0419a59056c,Whey Protein,2025-06-20,5,2919
YouTube,SummerShred,972,bc44930c-b6e2-4b7c-81ce-422047d19d80,Multivitamin,2025-07-11,12,6620
Instagram,FitJuly,206,97a288b9-a906-400f-98f7-e311b921de8f,Whey Protein,2025-07-13,10,4765
Instagram,SummerShred,229,f0b2b4be-7b91-4c41-91a7-e7f009359795,Whey Protein,2025-06-21,11,4282
YouTube,SummerShred,613,9d1bd728-caae-48fa-99f3-8004999703fb,Multivitamin,2025-05-09,7,2649
Twitter,PowerBoost,494,ad7f22d5-6545-479e-9a8b-de76b94ada1d,Multivitamin,2025-06-09,17,5793
Facebook,FitJuly,358,d656eaa4-fbd3-4e54-aeef-1baafaa586e2,Vitamin C,2025-07-07,20,1366
Twitter,WellnessWave,343,74f51df2-77d5-4faf-a900-67a41be85656,Whey Protein,2025-05-24,9,6172
Facebook,FitJuly,628,99ab9e74-30b0-4c33-bfba-ec17f9e25ce5,Whey Protein,2025-05-12,13,749
Instagram,WellnessWave,624,a5595c1c-32da-4d7c-8e9c-9e481c210b32,Creatine,2025-07-06,4,5199
Facebook,WellnessWave,1,78e3c1c5-1e19-4dfc-86f5-d129eb239f80,Vitamin C,2025-06-05,19,5686
Twitter,WellnessWave,22,e4ece6bb-0ecb-4364-95b9-f3ad46a37668,Vitamin C,2025-06-17,10,6528
Facebook,WellnessWave,583,6609a468-f54a-45d0-a99c-0cfab98517ed,Vitamin C,2025-05-14,20,3044
Instagram,FitJuly,137,4d7ffed8-1b94-4b3e-9a4d-dcaaf8a1a12f,Whey Protein,2025-07-07,13,2287
Instagram,FitJuly,731,9f295d00-582b-49b4-ae6e-472d38447869,Whey Protein,2025-06-25,15,614
Instagram,PowerBoost,857,be7e5337-f7ee-42fa-852a-5f78b308ec58,Multivitamin,2025-07-07,10,4320
Facebook,WellnessWave,800,2d3b30c6-51e2-4c4b-a050-b6acfe7da08b,Whey Protein,2025-06-17,6,1132
YouTube,FitJuly,383,a61b7c7e-4d63-446e-8da4-94f971efc9d3,Vitamin C,2025-05-28,19,9892
Facebook,WellnessWave,20,bf96703a-5427-4741-85f1-9fdc64a938b4,Creatine,2025-06-04,2,5631
Facebook,SummerShred,599,827db436-9e18-4497-9bbc-5801701bc365,Multivitamin,2025-05-30,16,4584
Facebook,WellnessWave,433,a6c4030a-adc9-4340-9215-c006d6fe5a66,Creatine,2025-06-27,11,8387
Twitter,FitJuly,758,05b9a25d-c330-4b1c-a9ec-8fbe2fd99318,Vitamin C,2025-07-10,11,2401
YouTube,PowerBoost,307,a43da2e8-1898-4b5a-a37a-ee392a4146a7,Multivitamin,2025-06-20,6,8795
Instagram,WellnessWave,641,e05fcc08-66dd-47f0-8d7c-02ca77a8927d,Vitamin C,2025-06-12,15,1666
YouTube,SummerShred,365,ea2a274d-b5aa-444d-a8dd-d0f0038f7ca9,Creatine,2025-05-08,17,3568
Twitter,FitJuly,101,4b873766-6fa0-41fc-becb-0bb2a2beb6ab,Creatine,2025-07-09,12,2264
YouTube,FitJuly,609,9dcad939-b78f-4876-a669-6f11b68e3853,Whey Protein,2025-05-22,19,9295
Twitter,FitJuly,729,440aa839-9a01-4100-812f-41066ae00bcf,Creatine,2025-05-06,13,2676
Instagram,WellnessWave,664,9c825b05-7da7-4c91-b696-b899700940c3,Vitamin C,2025-06-04,19,4449
YouTube,WellnessWave,883,72caf1ba-bb7f-4dd9-95bb-7859faf7fc6f,Multivitamin,2025-05-06,2,2829
YouTube,FitJuly,166,010319b4-a251-4148-abdc-b165536220b4,Whey Protein,2025-06-01,12,9856
Instagram,SummerShred,13,be0bf873-d4da-4559-9f30-c65b1305248e,Multivitamin,2025-05-11,17,5920
YouTube,WellnessWave,874,d67e4089-f9cb-4057-a793-bed9c6e17cca,Multivitamin,2025-05-29,10,5537
Facebook,WellnessWave,521,8324bbfe-058e-4775-8d1c-28451d54db01,Vitamin C,2025-07-14,12,5220
YouTube,PowerBoost,742,44e7273d-2177-40c0-bd29-4c648a65b2c2,Vitamin C,2025-05-21,18,8709
Twitter,SummerShred,474,f443db19-8e61-413f-8d26-9962cf5e8625,Multivitamin,2025-07-09,15,6544
Instagram,PowerBoost,201,6232e8d1-72ac-4aac-8497-dc8f2e1e4d0c,Whey Protein,2025-06-08,17,1721
Twitter,PowerBoost,339,cf6e4fed-e195-4619-9935-b32cdf3d3e91,Creatine,2025-07-06,8,1490
YouTube,PowerBoost,114,0144acf0-2cb9-4739-ae5f-dc2a86aef2f2,Multivitamin,2025-05-14,7,8263
YouTube,WellnessWave,28,08de76e8-0352-4e6b-98ac-769ae5be4b13,Multivitamin,2025-07-10,3,2923
Instagram,PowerBoost,863,150af294-5233-4291-8f99-4eb9760a7f92,Multivitamin,2025-05-20,5,1556
Facebook,PowerBoost,970,55ff994f-864d-43d4-a9ad-e459cc795613,Creatine,2025-06-15,17,9021
Instagram,FitJuly,137,98cfe825-fa96-40fc-bb52-328263a1368d,Whey Protein,2025-05-05,6,2883
Instagram,PowerBoost,814,19361009-baa7-4b51-a8ac-4bb38b7a3c30,Whey Protein,2025-05-16,2,8372
Twitter,SummerShred,132,5247c74e-1108-4992-9492-14206ffc13ba,Whey Protein,2025-05-27,19,5469
Instagram,PowerBoost,33,5ed842a5-429b-435f-82b1-7e36ba6d114f,Multivitamin,2025-05-03,3,797
Twitter,WellnessWave,748,289112c6-2640-4cda-81d0-41487c4f209c,Whey Protein,2025-07-08,13,8899
Instagram,PowerBoost,249,170e5de3-5e9a-4d3c-b821-ac3663df8443,Creatine,2025-07-09,20,950
Facebook,WellnessWave,542,07e38862-a3cd-4b3b-949c-ae2052653663,Creatine,2025-06-24,17,5764
Instagram,FitJuly,952,aee8237b-fba4-4081-87d4-5615d3b3e051,Creatine,2025-05-05,9,9433
Facebook,FitJuly,131,003f08ac-fd49-4d46-b3c0-6126a004d7b8,Multivitamin,2025-07-07,14,6086
Twitter,SummerShred,35,75758ced-87a6-4935-9ca1-f5080adab386,Creatine,2025-06-02,13,8434
Facebook,FitJuly,165,681f721a-e65b-485c-bbbe-b4b7256e4842,Whey Protein,2025-05-10,1,6703
Twitter,WellnessWave,988,732abb84-6a2f-4e83-b0ea-52a421dea3dd,Creatine,2025-05-23,19,2676
Facebook,PowerBoost,728,75a16c5b-05c2-4e4c-b64b-4aad15ef6419,Vitamin C,2025-05-07,5,2291
YouTube,WellnessWave,989,bde79d9f-3a17-498d-9d8d-db8b2b76a41a,Vitamin C,2025-05-09,9,1265
Instagram,PowerBoost,448,95914cb1-aa69-4a0f-ba7f-7f99215401ef,Vitamin C,2025-05-19,4,3328
YouTube,PowerBoost,959,b2f8ea72-0404-453d-ac84-0fe65c91a9be,Multivitamin,2025-07-11,8,3286
Twitter,FitJuly,479,71ca5360-64e6-4704-8b4d-da1f9318e682,Creatine,2025-07-14,7,2544
Twitter,PowerBoost,853,bf623746-4cd2-46a4-84ab-24d1e2f156ca,Vitamin C,2025-07-10,18,4901
Facebook,WellnessWave,608,39b597ae-916c-46e1-b567-78d32d31c20b,Creatine,2025-07-20,6,6858
Twitter,SummerShred,334,c8978c6f-911d-47b5-90bc-da32fe1000dd,Whey Protein,2025-07-08,19,9483
Instagram,FitJuly,782,0f2c488c-bfdd-4eb7-8f60-a2cc53e9c4bd,Creatine,2025-06-07,19,9879
YouTube,WellnessWave,874,fdb6da9f-25d3-470b-b9c0-8e8888b74834,Creatine,2025-05-02,4,3558
Twitter,SummerShred,5,8a5efee2-76c4-4208-9b81-138c6beee4a1,Vitamin C,2025-06-18,11,5593
Instagram,WellnessWave,807,63a48cf1-9a29-401c-8821-c6f1f6a69b80,Creatine,2025-06-18,9,6211
Facebook,PowerBoost,596,515bedba-5e14-412c-97ab-1f8d74dbb979,Vitamin C,2025-06-30,18,3880
Twitter,SummerShred,362,3d614a43-a6c6-4d52-a53d-a3f5a4cae467,Whey Protein,2025-06-28,9,9336
Facebook,PowerBoost,919,52befd91-5e57-4550-b35f-4ef1dc4a2032,Multivitamin,2025-05-25,4,1441
Facebook,PowerBoost,556,a17f541d-6f26-4bd1-9996-10be5fcef5cc,Vitamin C,2025-05-02,8,1632
Instagram,SummerShred,916,756513b2-cbf7-49a0-b521-5ebcaa2855d9,Creatine,2025-07-02,17,5425
YouTube,PowerBoost,123,e59ef034-2d05-4695-82bf-119087e35fc0,Multivitamin,2025-05-22,19,9553
Instagram,WellnessWave,857,18f0f9ac-9e2a-4523-887d-a95b8783ab14,Vitamin C,2025-06-22,15,4778
Twitter,SummerShred,927,5852f536-4d59-4f6a-9591-479e2cae34cb,Whey Protein,2025-05-05,6,598
Twitter,FitJuly,240,79bdd4d9-3b0b-41de-be25-24cdc1f818b9,Whey Protein,2025-07-20,12,4097
Facebook,SummerShred,141,2f13dd2b-544c-420e-852c-20e88eb2304f,Multivitamin,2025-06-06,2,8624
Twitter,FitJuly,423,e1cf2e52-2dbd-482e-93e1-f8ad1aef1d57,Vitamin C,2025-06-02,13,640
Facebook,FitJuly,956,bb2cb868-3c44-48d9-97ff-aa1504b32990,Whey Protein,2025-06-28,12,3785
YouTube,WellnessWave,613,ca82b1f2-581c-449a-a4ea-2b164a9ef497,Multivitamin,2025-04-28,5,9443
Instagram,FitJuly,809,04260502-ae04-4b7c-a154-941da10ecfef,Whey Protein,2025-05-29,18,5621
YouTube,PowerBoost,735,eabfa33d-4d1e-4b4e-88b1-ba69bc5068af,Vitamin C,2025-07-08,20,8091
Instagram,PowerBoost,478,57c21d41-81d9-4dff-9cf2-6b3c73388c1e,Creatine,2025-06-26,17,6990
Twitter,WellnessWave,584,3e1f36b3-c7f1-4055-ba42-1aa086f43268,Creatine,2025-06-10,10,8465
Twitter,SummerShred,512,b724c463-cecf-4089-9f6f-9d970767e00d,Whey Protein,2025-05-12,11,7077
YouTube,PowerBoost,767,5a18a3a9-ebdc-4082-a42c-4926b4ba2c08,Multivitamin,2025-05-15,16,677
Instagram,SummerShred,179,c7b6909c-ba82-4925-b7e2-e39c1abfa8e2,Whey Protein,2025-07-18,3,7753
Facebook,FitJuly,82,369cdfdf-2e67-4b48-9a64-f0d84b71736c,Vitamin C,2025-05-06,1,9467
Twitter,WellnessWave,756,3a24af7c-8410-4d5c-ba94-39f50b4a1d59,Creatine,2025-07-21,3,5744
Facebook,FitJuly,162,d4db52ee-2777-4eb5-89a8-cd6a28c2befa,Vitamin C,2025-06-27,6,5476
Instagram,FitJuly,278,5683c148-1169-4882-aa57-97cc67de2388,Whey Protein,2025-07-15,6,2523
YouTube,PowerBoost,198,feabea29-2e51-4314-ab98-19d39dcd9d19,Creatine,2025-07-20,11,8545
Instagram,SummerShred,675,60b9c810-ffa5-4046-941e-e74489311fa4,Multivitamin,2025-07-12,1,5400
Facebook,FitJuly,441,031ee3bb-0db7-4e53-8b54-f89bbe302254,Multivitamin,2025-05-14,3,3914
Twitter,PowerBoost,526,fd664d43-7fb8-40b3-aa3f-cbe8f93aac92,Multivitamin,2025-05-10,9,7657
Twitter,PowerBoost,868,09c330e7-979c-448b-866f-935f735694a1,Creatine,2025-06-27,19,6997
Twitter,PowerBoost,690,503aba24-03a6-4971-8534-108887859df1,Whey Protein,2025-07-17,2,2345
Instagram,PowerBoost,916,9c90b637-7031-49c2-b335-9c793923605b,Whey Protein,2025-07-19,7,8537
YouTube,PowerBoost,269,e3163e16-65b8-4a14-bb03-fdac757cf51a,Creatine,2025-07-08,2,8282
Facebook,SummerShred,813,46c82389-d052-4a75-bc0f-64aa3f2ab167,Creatine,2025-06-22,15,9945
YouTube,WellnessWave,422,ee4251a8-5a03-4121-976a-69775c0354a3,Multivitamin,2025-06-30,12,7903
YouTube,FitJuly,189,0dfe693f-173c-4902-b153-e78a7f0bd207,Vitamin C,2025-06-28,8,4758
Facebook,SummerShred,7,1053f9dd-6353-4d1e-9236-afc5fac575bd,Vitamin C,2025-07-13,12,1843
Instagram,WellnessWave,323,e64cecce-6ff3-45ad-8d3d-44d04c8fc60f,Creatine,2025-07-13,17,7483
Instagram,WellnessWave,548,35bb15a6-119f-4257-9226-e7d37e415c1c,Vitamin C,2025-05-30,3,9431
YouTube,PowerBoost,205,1d5dbb94-ce74-4dc4-b815-2ff760717114,Multivitamin,2025-07-08,6,6894
Facebook,WellnessWave,60,50eaaf0a-71a2-49b5-845f-cedee7a5aa64,Creatine,2025-05-13,14,5323
Twitter,PowerBoost,500,0bb50ec0-0e16-4a31-98f8-61c7f82f9906,Whey Protein,2025-07-04,1,3144
Twitter,FitJuly,297,c3117b3e-b84f-4dc1-bda9-5c7bd5179b27,Creatine,2025-07-01,2,6520
Instagram,WellnessWave,107,ec4a446a-5da4-46de-b6ae-fdbc9005dff2,Vitamin C,2025-05-24,5,8195
Twitter,PowerBoost,56,d4277f2a-7a4b-47ca-a4f9-e3c2b5f7b201,Multivitamin,2025-05-12,11,5835
YouTube,FitJuly,383,1b0862b7-0dc3-4c1d-80e7-aa0816af4b4a,Multivitamin,2025-06-17,9,1289
Facebook,SummerShred,542,422caabd-b184-4e6b-80b9-d6cd9f4ab968,Vitamin C,2025-04-24,11,6496
Instagram,FitJuly,211,74ea66bb-a147-4d0a-a303-a78c7934b0f3,Multivitamin,2025-06-08,2,5931
Facebook,SummerShred,48,e5d2598d-0c76-4258-b8ed-9de3ca3a98ab,Multivitamin,2025-05-15,8,9563
YouTube,WellnessWave,151,3faf6503-09ae-4190-acab-cb656a6c3ded,Multivitamin,2025-07-14,6,7229
Twitter,FitJuly,299,8486f590-a079-411e-9229-72501a5236e7,Creatine,2025-05-07,7,8962
Instagram,FitJuly,304,6173b1f8-f5d3-47df-a1b6-d9e373c3aea6,Multivitamin,2025-05-07,3,9445
YouTube,FitJuly,757,212a2369-1b83-4ca3-b9cb-0af128dcf855,Creatine,2025-05-02,12,5356
Instagram,PowerBoost,478,dc3c8350-51f2-42bd-b948-83eeb269ccf9,Multivitamin,2025-06-21,3,2704
YouTube,PowerBoost,955,c96bb001-261f-48bb-9290-088c1d1b6efd,Multivitamin,2025-04-24,1,3284
Facebook,SummerShred,536,78820738-d84b-450b-8f07-05d3d1c626b4,Whey Protein,2025-05-30,12,9559
YouTube,PowerBoost,890,23214381-3a6c-4cee-8e5c-7c760c0bd1c9,Vitamin C,2025-05-21,19,8766
Twitter,SummerShred,992,7548b044-30ef-464c-b325-2e0440a1cb6f,Multivitamin,2025-05-14,7,3887
Twitter,FitJuly,688,578e4b19-aca4-4d03-a82d-e84eb3f71be4,Multivitamin,2025-06-16,11,5712
Instagram,PowerBoost,388,a57173bd-3976-4ff6-860d-00e7be92667a,Whey Protein,2025-06-25,12,9371
Facebook,SummerShred,645,2a5617d5-b133-405e-bf77-1281cafd1576,Creatine,2025-06-25,8,7972
Instagram,FitJuly,92,de8517bf-1fab-42b2-a136-11eda7fe60d4,Whey Protein,2025-06-05,3,3037
Twitter,PowerBoost,266,c5153373-fabe-4a44-a7ad-0955590c979d,Whey Protein,2025-06-06,15,1555
Instagram,FitJuly,936,9cce9bd7-8b4d-4aae-bc59-8278895fbe0f,Creatine,2025-06-11,12,2313
Twitter,WellnessWave,435,f2068fea-a6db-4f36-a914-ebfa65387b17,Multivitamin,2025-05-04,3,6174
YouTube,PowerBoost,288,d6ca19a5-21ee-46bc-9d30-534038c817fe,Whey Protein,2025-06-07,20,1551
Instagram,PowerBoost,625,c973c168-c201-4fb5-8dd0-de8114f0c97e,Whey Protein,2025-06-01,14,9317
Facebook,WellnessWave,328,e591fcb2-ec6d-40ef-babd-672f7ccbc189,Creatine,2025-06-30,17,2479
Instagram,WellnessWave,891,29826c31-f7f7-4d4f-ad5a-ea88d05ad60a,Vitamin C,2025-07-14,11,9039
YouTube,FitJuly,823,2b0f8436-6058-4aab-b32e-88af3aaabec2,Multivitamin,2025-06-23,18,7544
YouTube,WellnessWave,454,67c9715e-4215-4da2-9da6-0694b622f1e3,Vitamin C,2025-05-07,12,4389
Instagram,PowerBoost,179,e0c1f703-ec5f-4ae8-8249-f049d99e7676,Creatine,2025-07-15,15,6365
Facebook,PowerBoost,309,da37ddf8-8364-41de-947a-e8cac7e3064f,Vitamin C,2025-06-23,9,4144
Twitter,SummerShred,73,cdfa0dba-1794-4714-a7e4-f6aa8214c479,Multivitamin,2025-05-07,1,6627
