influencer_id,basis,rate,orders,total_payout
547,order,1277,5,6385
994,order,848,8,6784
142,order,1980,7,13860
824,order,834,5,4170
574,post,1250,20,1250
648,post,717,19,717
750,order,902,8,7216
961,post,810,3,810
477,post,200,15,200
344,post,797,14,797
57,post,1737,16,1737
380,post,778,16,778
474,post,1981,17,1981
668,post,546,11,546
47,order,1174,16,18784
736,order,1790,6,10740
699,post,433,16,433
827,post,1413,17,1413
22,post,459,1,459
130,order,959,10,9590
339,post,690,8,690
904,post,809,12,809
686,order,1844,8,14752
862,post,1658,8,1658
549,order,1960,1,1960
327,post,768,20,768
846,order,1580,12,18960
783,order,1912,12,22944
130,order,1119,15,16785
242,post,980,18,980
37,order,969,6,5814
802,order,361,8,2888
210,order,831,19,15789
246,order,1098,19,20862
408,order,1749,17,29733
174,order,613,7,4291
700,post,749,19,749
90,post,1328,12,1328
833,order,1565,18,28170
571,post,1791,20,1791
783,post,1997,12,1997
807,post,1914,1,1914
899,post,1606,3,1606
940,order,1103,12,13236
526,order,1297,1,1297
350,post,1759,11,1759
285,post,522,3,522
391,order,250,3,750
934,order,1419,6,8514
209,post,695,7,695
318,order,219,12,2628
30,order,259,3,777
304,post,361,10,361
484,order,1109,17,18853
908,post,410,14,410
608,post,1116,2,1116
414,post,389,1,389
462,order,1168,15,17520
415,post,811,18,811
79,post,1718,5,1718
710,post,1413,5,1413
781,post,316,18,316
921,order,1536,16,24576
329,order,954,7,6678
180,post,574,14,574
681,post,1564,16,1564
141,post,1631,6,1631
133,order,1857,1,1857
353,order,1641,13,21333
711,order,526,16,8416
336,post,867,15,867
305,order,223,5,1115
60,order,685,14,9590
456,order,985,11,10835
361,order,1992,5,9960
8,post,1261,12,1261
922,post,1492,1,1492
902,post,553,15,553
890,order,761,20,15220
421,order,276,1,276
476,order,1931,7,13517
367,post,229,14,229
273,order,715,15,10725
201,order,1024,17,17408
563,post,1545,12,1545
411,order,1797,20,35940
60,post,1337,7,1337
858,post,1115,15,1115
943,post,1876,7,1876
4,post,285,3,285
687,post,1813,13,1813
761,order,548,10,5480
427,order,615,15,9225
568,post,1834,13,1834
23,post,1031,4,1031
849,order,625,12,7500
87,post,589,6,589
406,order,1330,14,18620
288,post,540,8,540
93,post,532,11,532
85,post,564,4,564
898,order,1451,6,8706
607,order,289,8,2312
695,order,1573,15,23595
878,order,1455,15,21825
773,post,1972,9,1972
508,order,1801,3,5403
795,order,784,7,5488
314,order,1316,11,14476
417,post,441,14,441
948,order,1483,3,4449
767,order,663,1,663
419,order,1445,11,15895
387,order,1184,7,8288
95,order,1356,19,25764
152,post,407,18,407
932,order,1294,3,3882
566,order,209,4,836
169,post,851,5,851
281,order,224,16,3584
124,post,1375,16,1375
82,post,999,17,999
109,post,1186,5,1186
373,post,936,16,936
813,order,1398,11,15378
239,order,1159,15,17385
744,post,1438,5,1438
627,order,1073,3,3219
383,order,1223,18,22014
58,order,940,20,18800
254,post,1256,11,1256
985,order,1898,9,17082
241,order,1808,19,34352
998,order,988,12,11856
732,order,353,6,2118
521,order,731,3,2193
945,order,248,19,4712
796,post,1721,5,1721
420,order,830,12,9960
91,order,485,17,8245
880,order,1222,10,12220
1,post,1018,14,1018
485,order,1575,3,4725
629,order,375,16,6000
197,order,400,5,2000
163,post,1976,9,1976
273,post,1708,10,1708
203,post,1200,7,1200
53,order,627,10,6270
761,post,1290,1,1290
127,post,843,10,843
17,post,1863,11,1863
681,post,679,16,679
172,post,569,10,569
228,post,1083,12,1083
77,order,1676,20,33520
587,order,807,9,7263
391,post,507,18,507
796,order,1894,5,9470
452,post,348,2,348
414,post,1960,17,1960
705,post,1136,16,1136
590,order,413,16,6608
61,order,1182,9,10638
373,order,1688,3,5064
732,post,993,5,993
539,post,987,14,987
73,post,350,4,350
828,post,1252,18,1252
833,order,1723,11,18953
761,post,298,13,298
894,post,1172,8,1172
428,post,649,19,649
493,order,751,6,4506
946,order,670,5,3350
518,order,1226,16,19616
127,order,1472,7,10304
989,post,1686,10,1686
818,post,1363,11,1363
455,post,1047,10,1047
72,order,1139,12,13668
304,order,1648,9,14832
863,order,1486,3,4458
167,post,1000,8,1000
601,post,365,20,365
799,post,1743,17,1743
396,post,307,13,307
232,post,940,2,940
589,post,1696,20,1696
974,post,520,13,520
343,post,906,20,906
643,post,1968,10,1968
176,post,1501,4,1501
842,order,784,1,784
844,order,259,15,3885
231,order,1490,17,25330
506,post,1503,20,1503
232,post,1244,17,1244
768,order,321,4,1284
399,order,459,20,9180
629,order,1795,6,10770
909,order,517,18,9306
795,post,504,4,504
457,post,347,6,347
973,post,871,8,871
124,post,802,11,802
205,order,996,10,9960
806,order,1899,4,7596
90,post,1518,7,1518
460,order,399,2,798
973,post,1618,11,1618
915,post,1671,18,1671
899,order,1503,12,18036
952,order,939,2,1878
578,post,484,1,484
145,order,1438,11,15818
899,post,480,20,480
854,post,1169,12,1169
995,order,325,15,4875
548,post,809,19,809
422,order,1217,8,9736
116,post,709,8,709
347,order,709,10,7090
823,order,1285,18,23130
504,order,1051,4,4204
687,order,519,1,519
687,post,1367,6,1367
347,order,1271,19,24149
83,order,390,9,3510
363,order,1008,18,18144
556,post,885,18,885
357,post,1828,2,1828
193,post,406,8,406
281,post,1396,4,1396
495,order,1473,13,19149
43,post,368,18,368
832,order,1965,20,39300
226,order,854,2,1708
862,order,652,5,3260
151,order,230,11,2530
940,post,1890,8,1890
468,post,1952,10,1952
324,order,1147,19,21793
753,post,1679,5,1679
446,post,1685,13,1685
692,post,255,17,255
400,post,349,9,349
858,order,1447,4,5788
244,post,1999,1,1999
986,post,615,20,615
815,post,1877,8,1877
732,order,1819,20,36380
406,order,1157,19,21983
432,post,495,2,495
806,post,1665,7,1665
60,post,1270,10,1270
770,post,515,9,515
321,post,1315,3,1315
19,order,244,5,1220
126,post,911,13,911
34,order,1156,7,8092
537,order,1470,2,2940
601,order,1476,18,26568
808,post,1174,6,1174
622,post,1244,16,1244
764,post,1661,15,1661
680,order,1266,17,21522
65,order,578,14,8092
668,post,611,17,611
429,post,599,8,599
658,order,1970,8,15760
951,order,1365,18,24570
545,order,283,8,2264
320,post,1598,19,1598
596,order,581,20,11620
457,order,314,1,314
499,post,391,6,391
466,post,352,17,352
755,order,519,12,6228
449,order,1782,19,33858
94,order,475,1,475
526,post,846,7,846
228,post,1138,11,1138
533,post,723,13,723
695,order,1815,3,5445
296,post,352,3,352
978,post,1494,15,1494
7,order,1568,4,6272
402,post,1834,1,1834
517,order,1962,10,19620
62,order,471,1,471
310,post,380,19,380
593,order,249,12,2988
634,order,596,19,11324
232,order,217,15,3255
952,post,1031,1,1031
960,post,1999,20,1999
124,order,1840,13,23920
717,order,645,19,12255
941,post,465,8,465
233,post,308,8,308
526,order,1391,7,9737
705,post,843,3,843
505,order,397,12,4764
105,post,844,13,844
797,post,583,10,583
255,order,513,1,513
44,post,558,17,558
64,order,1825,10,18250
47,post,1341,7,1341
238,order,1515,20,30300
243,order,1344,3,4032
286,order,971,9,8739
395,order,1427,19,27113
214,order,1639,9,14751
171,order,1121,9,10089
355,post,635,17,635
145,order,942,20,18840
636,order,1677,14,23478
263,post,1736,12,1736
465,post,702,8,702
436,order,901,13,11713
109,post,549,10,549
662,order,1697,14,23758
586,order,1724,13,22412
61,order,1665,9,14985
596,post,1091,5,1091
613,post,1865,18,1865
876,order,1968,18,35424
273,post,600,10,600
293,post,362,10,362
65,post,1095,13,1095
403,order,1225,3,3675
782,post,1621,19,1621
900,post,1437,1,1437
581,post,1045,17,1045
193,order,1959,7,13713
112,order,1521,4,6084
745,post,420,11,420
302,order,1640,7,11480
699,post,297,20,297
36,post,1239,14,1239
246,order,1008,13,13104
792,post,1385,12,1385
656,post,706,12,706
790,post,485,5,485
406,post,1137,12,1137
183,order,1168,11,12848
529,order,1938,2,3876
530,order,837,5,4185
673,order,1835,10,18350
773,post,549,7,549
310,order,215,10,2150
541,order,1800,8,14400
304,post,430,16,430
637,post,1299,18,1299
319,order,865,6,5190
738,order,1198,10,11980
196,order,247,7,1729
529,order,497,11,5467
101,order,1392,5,6960
25,order,1778,2,3556
768,post,1462,14,1462
911,order,1477,9,13293
873,order,1583,1,1583
68,post,1720,16,1720
947,post,1578,20,1578
489,post,887,14,887
878,order,758,17,12886
409,post,1016,14,1016
799,order,1601,9,14409
148,post,528,20,528
586,order,786,10,7860
456,order,1542,17,26214
384,order,1920,10,19200
143,post,1714,20,1714
81,order,1196,9,10764
668,order,1004,2,2008
687,order,1644,17,27948
487,order,1246,15,18690
380,post,617,9,617
877,post,965,3,965
421,order,288,14,4032
130,order,1260,5,6300
814,post,1279,17,1279
606,post,421,11,421
967,order,1654,10,16540
230,post,558,2,558
743,order,1178,16,18848
45,order,1623,1,1623
584,post,201,12,201
467,order,1755,15,26325
576,order,288,13,3744
926,post,1086,2,1086
51,post,1476,1,1476
859,order,1583,19,30077
611,post,1463,18,1463
934,post,1994,15,1994
83,order,1983,20,39660
508,post,237,4,237
871,post,349,9,349
246,order,589,15,8835
514,post,908,17,908
947,post,1507,8,1507
666,post,1154,5,1154
390,post,347,18,347
820,post,639,4,639
199,order,1850,12,22200
502,order,1410,13,18330
33,order,212,4,848
771,post,400,9,400
863,order,652,2,1304
612,order,1690,12,20280
807,post,948,17,948
141,post,900,11,900
970,post,962,5,962
268,order,979,13,12727
328,order,1217,17,20689
518,post,547,8,547
291,post,1937,4,1937
310,order,1068,9,9612
150,order,1395,6,8370
328,order,1615,10,16150
413,post,945,9,945
383,post,1980,15,1980
509,post,1434,4,1434
344,post,1868,12,1868
514,post,620,1,620
209,post,1591,11,1591
181,order,428,4,1712
815,post,649,1,649
376,order,618,9,5562
530,order,1887,10,18870
291,post,1082,2,1082
771,order,1648,13,21424
338,order,1286,16,20576
212,order,1988,10,19880
915,post,1244,15,1244
504,post,795,9,795
49,post,235,11,235
451,post,1073,3,1073
272,order,1100,12,13200
811,order,408,20,8160
595,order,1011,8,8088
75,order,1055,15,15825
460,order,734,1,734
817,post,513,8,513
953,order,1669,1,1669
513,post,960,13,960
657,order,920,19,17480
170,order,1213,14,16982
161,post,1191,9,1191
166,post,1367,14,1367
116,order,1332,8,10656
949,order,1643,1,1643
105,order,1426,9,12834
516,post,1012,3,1012
155,order,1466,9,13194
694,order,1525,8,12200
106,order,794,10,7940
692,post,563,18,563
554,post,724,19,724
579,post,1479,19,1479
317,post,359,19,359
438,post,1492,11,1492
525,post,1163,3,1163
44,order,247,1,247
809,order,374,15,5610
160,post,325,6,325
656,post,1160,9,1160
42,post,936,15,936
368,post,725,2,725
175,post,604,3,604
200,post,1433,16,1433
776,post,1229,15,1229
378,post,1615,15,1615
502,post,1134,3,1134
409,post,559,19,559
878,post,1898,2,1898
515,order,1117,4,4468
680,order,1681,7,11767
61,post,1739,16,1739
534,post,1740,2,1740
948,order,1183,17,20111
424,post,313,12,313
974,post,954,6,954
788,order,1742,4,6968
292,post,1705,2,1705
365,order,450,6,2700
903,post,1954,4,1954
957,order,1673,8,13384
939,post,530,6,530
546,order,1460,7,10220
585,post,1434,7,1434
277,order,593,20,11860
698,order,1935,13,25155
606,post,695,20,695
110,order,1452,13,18876
554,order,1685,15,25275
363,post,1655,1,1655
554,post,522,2,522
217,order,847,20,16940
365,order,1545,7,10815
583,order,778,17,13226
849,post,707,2,707
568,post,1707,2,1707
27,order,778,17,13226
518,post,1727,9,1727
419,post,1522,19,1522
69,order,244,20,4880
235,post,477,3,477
473,order,602,3,1806
253,order,1282,15,19230
149,post,1454,11,1454
327,post,1067,5,1067
199,post,718,19,718
185,order,340,13,4420
84,order,678,19,12882
888,order,661,9,5949
439,order,1082,14,15148
929,post,1435,16,1435
256,post,673,10,673
772,order,1818,2,3636
142,post,1473,18,1473
261,post,771,17,771
974,post,1199,10,1199
742,order,584,14,8176
118,order,233,6,1398
846,order,662,10,6620
525,post,1689,4,1689
197,order,979,2,1958
630,order,266,17,4522
526,post,892,19,892
901,post,358,18,358
149,post,1537,11,1537
914,order,621,9,5589
446,order,602,17,10234
455,order,891,6,5346
574,post,1225,18,1225
429,order,1814,17,30838
878,post,418,3,418
801,post,1261,17,1261
559,post,1404,9,1404
957,post,1987,4,1987
129,post,1707,9,1707
65,post,1460,2,1460
665,post,1715,20,1715
944,post,1656,7,1656
265,post,375,8,375
128,post,1593,12,1593
314,post,1712,20,1712
771,order,1324,18,23832
955,post,1343,10,1343
149,post,1078,18,1078
650,post,1015,17,1015
821,post,488,13,488
920,order,870,11,9570
716,order,1868,20,37360
21,post,959,15,959
677,order,1731,5,8655
77,order,1105,17,18785
850,post,1308,9,1308
275,post,1783,19,1783
926,order,1741,17,29597
143,order,1229,2,2458
161,order,416,20,8320
151,post,1784,1,1784
983,post,1829,13,1829
407,post,824,12,824
462,post,1432,1,1432
989,order,227,8,1816
829,order,1124,18,20232
712,order,514,13,6682
841,order,1290,19,24510
267,post,630,12,630
519,order,1817,14,25438
137,post,1977,20,1977
591,post,1012,11,1012
123,post,616,5,616
763,post,674,14,674
95,post,455,7,455
264,order,1970,4,7880
104,post,1192,6,1192
357,order,287,2,574
342,order,1736,7,12152
862,post,446,2,446
509,post,1866,16,1866
100,order,1373,3,4119
902,order,1490,7,10430
401,order,1047,17,17799
130,order,779,3,2337
370,post,767,15,767
109,order,1773,19,33687
841,post,1664,2,1664
612,post,875,10,875
769,post,517,18,517
722,post,1687,17,1687
353,order,1862,5,9310
339,order,1223,4,4892
727,order,1197,4,4788
992,post,1880,2,1880
864,order,1225,18,22050
608,order,230,9,2070
283,post,1176,13,1176
85,order,1313,15,19695
582,post,782,9,782
318,order,1925,3,5775
751,order,1680,17,28560
466,post,1723,8,1723
127,post,1987,10,1987
202,post,1309,15,1309
458,post,1732,20,1732
911,order,734,19,13946
120,order,261,13,3393
83,post,1384,20,1384
549,order,1545,5,7725
846,post,1778,6,1778
636,post,1128,10,1128
909,post,436,8,436
799,order,1892,13,24596
663,post,1658,18,1658
434,post,899,6,899
911,post,322,19,322
391,order,1033,3,3099
728,post,237,2,237
537,post,370,13,370
659,post,1218,1,1218
646,order,682,19,12958
995,post,340,3,340
991,order,679,13,8827
549,order,260,2,520
373,order,1317,20,26340
93,post,1911,2,1911
29,post,905,7,905
8,order,1049,20,20980
977,order,705,20,14100
501,order,1134,11,12474
409,order,1413,11,15543
272,post,1931,7,1931
51,order,1543,6,9258
352,order,1501,13,19513
469,order,1099,3,3297
562,order,1498,4,5992
50,post,273,13,273
624,post,1942,13,1942
799,order,1113,20,22260
969,order,1476,14,20664
956,post,641,14,641
558,post,632,13,632
466,order,1934,16,30944
567,order,574,6,3444
626,post,318,13,318
757,order,507,7,3549
613,post,234,2,234
277,order,1651,20,33020
626,post,1727,4,1727
656,post,583,13,583
195,order,1192,2,2384
790,order,1657,4,6628
875,post,897,17,897
393,post,1170,16,1170
383,post,1151,11,1151
51,post,1500,6,1500
50,post,1414,15,1414
449,order,710,6,4260
79,order,283,8,2264
621,post,1911,6,1911
703,post,886,14,886
849,post,943,19,943
105,order,1000,19,19000
66,order,1560,18,28080
11,post,615,1,615
791,order,1130,20,22600
485,post,551,15,551
567,order,1698,15,25470
264,post,1630,19,1630
390,post,260,11,260
14,post,1104,5,1104
201,order,706,20,14120
216,order,783,6,4698
260,post,1684,19,1684
357,order,1305,4,5220
892,post,1876,1,1876
545,order,483,20,9660
502,post,1830,14,1830
280,post,938,10,938
582,post,1555,14,1555
668,order,1085,14,15190
83,post,1115,5,1115
5,post,1170,16,1170
836,order,1279,5,6395
430,order,1502,13,19526
647,post,1497,18,1497
371,post,934,10,934
808,order,226,17,3842
233,order,1800,14,25200
139,post,1699,9,1699
192,order,1318,10,13180
297,post,1428,16,1428
890,order,530,7,3710
902,order,824,4,3296
482,order,678,15,10170
781,post,1467,20,1467
561,order,864,17,14688
813,order,1736,8,13888
467,post,1744,18,1744
893,post,1835,6,1835
579,post,485,13,485
279,order,1513,13,19669
907,post,923,11,923
625,post,1983,20,1983
706,post,996,5,996
459,order,2000,4,8000
247,order,542,18,9756
981,post,1380,16,1380
453,order,1348,6,8088
999,order,351,5,1755
692,order,921,3,2763
385,post,1844,8,1844
14,order,1294,12,15528
611,post,1120,7,1120
54,order,1373,5,6865
550,order,1803,19,34257
903,post,554,18,554
710,order,344,7,2408
629,order,1536,11,16896
369,post,664,10,664
19,post,482,13,482
280,order,1351,18,24318
340,order,1439,13,18707
599,order,1447,20,28940
894,post,1288,8,1288
429,post,941,20,941
748,order,473,13,6149
500,order,992,14,13888
937,order,786,7,5502
23,order,1046,17,17782
694,post,1189,17,1189
972,order,1969,19,37411
351,order,1728,14,24192
568,post,643,17,643
253,post,438,5,438
83,order,1388,6,8328
367,order,1542,16,24672
124,post,1217,11,1217
800,post,932,2,932
511,post,1009,2,1009
356,post,1812,13,1812
311,order,1110,14,15540
890,order,445,6,2670
282,post,1424,13,1424
193,post,982,4,982
32,order,1898,19,36062
836,post,438,14,438
694,order,666,20,13320
718,post,208,1,208
194,order,277,12,3324
51,order,911,9,8199
918,order,1275,20,25500
504,post,1510,18,1510
450,order,1678,8,13424
559,order,1162,14,16268
297,order,407,14,5698
315,post,795,4,795
947,order,949,13,12337
822,post,767,1,767
749,post,1135,5,1135
427,post,1605,6,1605
583,order,1017,17,17289
820,post,1632,7,1632
349,post,1886,17,1886
913,order,1357,2,2714
581,order,1337,18,24066
583,post,1274,15,1274
47,order,1372,4,5488
947,post,506,3,506
854,post,673,19,673
150,order,1419,2,2838
945,post,344,19,344
920,order,1588,10,15880
927,order,851,14,11914
643,order,312,20,6240
456,order,768,12,9216
14,post,894,5,894
282,order,207,8,1656
801,post,957,3,957
330,order,1652,16,26432
146,order,1323,17,22491
871,post,1750,9,1750
611,post,1558,7,1558
60,order,1247,2,2494
456,post,435,6,435
34,post,929,16,929
979,post,464,14,464
947,order,916,7,6412
110,post,1171,14,1171
535,order,1599,12,19188
554,post,1769,20,1769
808,order,738,7,5166
668,post,472,17,472
304,post,1719,16,1719
20,post,1520,3,1520
473,order,1042,3,3126
526,order,317,7,2219
343,order,1621,6,9726
198,order,208,12,2496
923,post,432,11,432
202,post,765,18,765
613,order,1217,11,13387
352,post,1010,13,1010
751,order,1334,8,10672
191,post,1389,14,1389
375,post,794,7,794
230,order,1991,7,13937
202,post,1297,20,1297
42,order,1361,11,14971
732,order,1506,1,1506
499,post,628,9,628
72,post,1194,8,1194
415,order,1070,8,8560
411,post,487,12,487
161,order,704,17,11968
219,post,503,4,503
748,order,1649,1,1649
838,order,1795,8,14360
51,post,345,9,345
467,order,1342,3,4026
814,post,1201,3,1201
953,order,771,5,3855
272,order,842,2,1684
618,order,627,3,1881
219,post,781,7,781
501,post,1242,11,1242
893,order,356,16,5696
161,post,759,16,759
661,order,1238,20,24760
820,post,1632,5,1632
364,order,1124,9,10116
207,order,1888,5,9440
975,post,1829,9,1829
584,order,1518,8,12144
412,post,608,5,608
716,post,1060,11,1060
777,post,683,18,683
348,post,1505,2,1505
519,post,501,3,501
70,post,1611,11,1611
733,order,584,15,8760
766,order,1334,15,20010
529,post,394,14,394
909,order,1138,3,3414
82,post,1451,16,1451
624,post,1077,7,1077
754,order,1621,11,17831
17,order,216,8,1728
227,order,765,16,12240
140,order,797,14,11158
753,order,1005,5,5025
310,post,1514,12,1514
361,post,872,2,872
671,post,1185,8,1185
764,order,1460,1,1460
348,order,739,14,10346
522,order,1166,2,2332
431,post,1876,17,1876
740,order,908,20,18160
964,order,708,6,4248
543,order,1904,7,13328
577,post,1064,7,1064
43,order,1308,18,23544
432,order,448,8,3584
177,post,858,12,858
625,post,1609,20,1609
350,post,1147,17,1147
984,order,1437,10,14370
375,order,800,14,11200
