influencer_id,Platform,Date,URL,Caption,Reach,Likes,Comments
653,YouTube,2025-06-13,http://green-anderson.com/,Join against run like maintain hope meeting coach.,405288,35118,1524
907,Twitter,2025-06-19,http://weeks.com/,Million professor best lay forget.,16171,8961,2442
575,Instagram,2025-05-29,https://myers.info/,Fly leader war language probably like community.,436209,25489,2725
654,Twitter,2025-04-30,https://www.davies.net/,Arm trial add join growth effect.,163093,16632,2340
737,Twitter,2025-05-23,http://www.goodman.com/,Green eight price.,426261,18950,4600
845,Facebook,2025-06-14,http://www.harris-dyer.com/,Tell Democrat design friend.,581877,35125,1772
710,Twitter,2025-07-16,http://www.wilson-becker.com/,Minute under whole here science girl.,90290,30596,4401
482,Twitter,2025-04-25,https://www.murphy-robinson.net/,Value lead enjoy value lose.,423836,1686,4156
813,Facebook,2025-07-11,https://kelly.com/,Power magazine every message pattern series.,723148,41806,4118
413,Twitter,2025-06-07,https://serrano.com/,Drug might soon score campaign view.,9044,22152,2602
706,Facebook,2025-06-27,https://green.com/,Wonder girl president.,364603,39772,623
643,YouTube,2025-07-15,https://kemp.biz/,While police find truth century fall.,97661,3141,2427
198,YouTube,2025-06-07,http://reynolds-abbott.com/,Out stock someone back.,299859,38595,1615
202,Instagram,2025-04-27,http://www.decker.com/,Itself ask so actually adult him be successful.,173144,30535,3029
499,YouTube,2025-07-16,http://www.hoffman.biz/,Current finish work what seven form enter tell.,237728,20199,599
757,YouTube,2025-06-26,https://nolan.biz/,Trip action certainly tonight center management ask.,204801,4895,4181
682,Twitter,2025-07-20,http://www.fields-velez.com/,Fly speech close artist board.,342898,18155,1675
56,Twitter,2025-06-30,http://marshall-smith.info/,Write one red create.,1860,9083,2636
832,Instagram,2025-05-01,https://harris-dennis.info/,Nature successful pass price concern herself same name.,378934,38709,2027
769,YouTube,2025-06-25,http://www.thomas-dorsey.com/,Can college question its.,50460,8276,757
354,Facebook,2025-07-04,https://myers.com/,Industry decide every probably it.,118597,41559,46
447,Twitter,2025-05-24,https://baldwin.net/,Society never effect hospital see decision.,12694,39932,1714
181,YouTube,2025-07-19,http://www.smith.com/,Day effect popular than forget.,241104,38522,4089
952,Instagram,2025-06-23,https://www.chapman-brown.org/,Nothing throughout drug news audience expect.,333071,1768,2189
603,Instagram,2025-05-27,http://snyder.org/,Important policy set finally.,241805,40058,4981
908,YouTube,2025-07-05,https://www.brandt.com/,Under church southern worker walk today.,165393,25947,4500
675,Instagram,2025-05-20,https://www.martin.info/,Business reality reality week.,162542,27317,215
640,Facebook,2025-05-22,https://fisher.com/,Another nearly those.,141015,49943,3825
945,Facebook,2025-05-23,http://stone.info/,Indicate yet late reveal mouth major door sing.,288520,47660,2701
564,Instagram,2025-05-31,https://walls.net/,Make nice any garden chair action.,670324,15643,4264
48,Facebook,2025-06-27,https://campbell-leblanc.com/,This eat environment story serve situation bag.,8171,26688,4353
485,Facebook,2025-06-18,https://www.mills.com/,Prepare there determine brother focus section.,173460,8653,960
634,YouTube,2025-05-12,https://flores.org/,Bad pattern coach important radio among sing.,65491,46869,1001
938,Instagram,2025-06-05,https://carroll-thomas.org/,Begin particularly poor clearly together.,15491,11151,1647
951,YouTube,2025-05-04,http://lane.com/,Particularly rise life.,8565,39203,3703
2,Instagram,2025-06-11,https://perez.biz/,Until great reflect seem word.,417748,17037,4062
352,YouTube,2025-05-17,http://king-moses.com/,Election ago Republican billion face.,510824,30359,3528
430,Facebook,2025-05-09,http://hunter.net/,Available somebody out site increase.,193796,22619,4279
943,YouTube,2025-05-26,http://garcia-wilson.com/,Former drug source such score order.,652516,26362,4667
802,YouTube,2025-06-10,https://www.mann.com/,Away position skin next fall beautiful bring trouble.,61859,14971,586
184,Twitter,2025-05-03,http://www.nelson.com/,Keep language force economy piece control next.,159249,42307,4170
688,Twitter,2025-07-12,http://robinson.com/,Meet deal or rather person program.,42912,4588,2891
723,Facebook,2025-07-05,https://frye.info/,Race if true news from our.,62356,21259,2386
450,Twitter,2025-06-22,http://serrano.com/,Measure task family work laugh.,28026,45851,3830
1,Facebook,2025-05-12,https://www.chase.net/,Into team free such tonight.,70304,18793,4759
254,Twitter,2025-07-06,http://www.brown-brennan.com/,West forward culture morning institution scene commercial.,122020,31325,3376
237,Facebook,2025-06-24,http://www.charles.net/,Expert wind bar right suddenly professional.,114546,45251,4846
823,YouTube,2025-07-17,http://www.gardner.info/,Author week major where so and improve.,416115,43227,1050
294,Facebook,2025-05-26,https://torres-bell.com/,Leader make risk reality community.,405725,29595,271
966,YouTube,2025-06-13,https://oliver.info/,Military sure anyone best apply reality.,3193,30764,2846
281,Twitter,2025-07-15,https://www.harris.net/,Institution indicate next forget both record job.,156120,9736,3534
711,YouTube,2025-05-03,https://wu.com/,Difference because perhaps fear high.,727759,24035,2499
13,Instagram,2025-07-07,https://mcguire.com/,Work these every among bring modern building.,73635,1315,1313
723,Facebook,2025-05-21,http://ryan.com/,Produce laugh do employee spend spend.,244782,24135,1339
735,YouTube,2025-05-11,http://www.freeman-yang.com/,Dream them seven magazine station.,239916,42327,1225
707,YouTube,2025-07-10,http://jimenez-petersen.com/,Every speech focus message fish fine task.,873058,37997,3458
971,YouTube,2025-06-14,https://www.jackson.com/,Democratic international group until very want employee face.,524667,20798,1148
932,Twitter,2025-07-12,http://roberts.org/,Soon wonder reason environment should black religious.,110010,22196,1538
323,Instagram,2025-07-03,http://hall.org/,Difficult little role require.,403787,42996,4990
212,Twitter,2025-05-11,https://www.silva.net/,Region goal third either pass.,34020,43572,4347
707,YouTube,2025-05-19,http://www.may.biz/,Trial song account region civil.,520486,20644,262
41,Twitter,2025-06-21,http://www.cannon-phillips.net/,Practice adult century head play financial name.,686181,45887,3389
138,Instagram,2025-06-10,https://www.mccormick-lamb.info/,Because collection traditional tax see strong.,285262,27989,3499
988,Twitter,2025-05-30,https://rodriguez.info/,Apply ever other sister we feeling.,422858,22031,3482
252,Twitter,2025-06-27,https://www.lawson.com/,Behavior something may himself radio wide even.,157989,33248,2301
458,Twitter,2025-07-08,http://cardenas.org/,Same detail raise lay box again.,14668,14044,3678
739,Instagram,2025-06-21,http://www.ray-rogers.com/,Business scientist again case public.,52154,29887,1656
820,Instagram,2025-06-13,https://lopez.org/,Adult air only notice one experience their.,807202,8651,1933
707,YouTube,2025-06-28,http://avila.com/,Wife left specific somebody environment central summer thousand.,99073,46320,3268
894,Twitter,2025-05-08,https://peterson.net/,Laugh prepare first ok.,65904,21731,1425
350,Twitter,2025-05-07,https://wolf.com/,Bag job east successful book against someone learn.,668570,15757,731
574,Twitter,2025-07-04,http://www.cruz-thomas.net/,Arrive lay support ten line husband measure.,619790,5733,529
541,Facebook,2025-06-01,http://www.mcbride-rice.com/,Activity build fund rest wish very all.,36971,550,4812
190,YouTube,2025-05-22,http://matthews.com/,Article commercial letter move thought.,670663,46949,941
375,Twitter,2025-06-14,http://www.johnson-hudson.net/,Another international remember speech mention activity.,756831,31162,976
717,Twitter,2025-07-09,http://www.morgan.com/,Once stock establish heavy trouble level investment develop.,82169,15055,4321
287,YouTube,2025-06-04,https://www.mills.com/,Significant debate oil everything because fall memory.,63054,23897,808
140,Twitter,2025-05-26,http://www.smith.com/,Guy glass argue sort.,177812,27109,2061
509,YouTube,2025-05-23,http://jenkins.biz/,Ten enough almost.,538431,5833,1723
39,YouTube,2025-07-11,http://martinez.com/,People hear go traditional anyone agree blood.,310287,15511,2419
813,Facebook,2025-05-08,http://www.avery-schmidt.net/,Wait else particularly off wife.,264601,42313,1559
393,Facebook,2025-05-20,https://www.wilkinson.net/,Artist pull national six him if.,135962,36746,1218
533,Instagram,2025-05-29,http://www.brown.com/,Rock total stock style report property describe standard.,270700,12303,2269
554,Facebook,2025-06-30,http://henson.com/,And pay whose plan paper project sound film.,449819,39966,3313
865,Twitter,2025-06-08,https://christensen.biz/,Good concern leg successful race gas other cost.,13090,14068,3432
151,YouTube,2025-04-27,http://www.hudson-martin.com/,Yourself thing probably traditional.,420823,22354,1555
30,Facebook,2025-07-11,http://www.ford-jacobs.com/,Heart boy west property appear.,654715,23369,2085
572,Facebook,2025-05-20,https://miller.com/,How avoid because indeed.,196819,178,1983
205,YouTube,2025-05-14,http://palmer.com/,Suggest art speech.,80455,599,2793
523,Twitter,2025-07-21,http://www.harris-torres.org/,Yes us society nature.,504759,38859,411
275,Instagram,2025-07-21,http://jones.com/,Choose more center rise career hard upon.,94855,10047,3234
738,Twitter,2025-06-29,http://rodriguez.biz/,Education fast down top travel certain he reflect.,180978,17022,87
46,Twitter,2025-05-14,https://bridges.net/,Respond rather success national.,300265,46338,2056
675,Instagram,2025-05-23,http://mercado-molina.com/,Ago great year measure week.,157310,21022,4512
532,Twitter,2025-04-25,http://gill.com/,Song after sport to.,332970,15679,880
885,Instagram,2025-06-19,https://www.rodriguez-alexander.com/,Different understand Mrs standard land.,169733,35368,4152
798,Twitter,2025-05-10,http://wheeler.com/,Court daughter drug prove to.,71318,3624,459
487,Instagram,2025-05-25,http://www.hudson.com/,Pattern theory if spend so child bank.,490588,22982,1597
77,YouTube,2025-05-21,https://herrera-little.com/,Development past base man fire indicate would himself.,5594,44891,4740
611,Facebook,2025-07-20,https://allen.com/,Spend push my respond.,1969,27685,795
717,Twitter,2025-05-28,https://brown.info/,Market organization lay above thousand force.,329172,46137,1075
338,Twitter,2025-06-11,http://weiss.com/,Certain table past culture.,15056,10713,746
83,Instagram,2025-05-04,https://chavez-phillips.com/,Believe final community stage hundred travel.,6381,20124,1389
605,YouTube,2025-05-03,http://zhang.com/,Paper boy thus agree light thus none learn.,717147,35625,1061
983,YouTube,2025-05-25,http://olsen.org/,Opportunity within church.,88658,21142,368
142,Twitter,2025-05-29,http://www.snyder.biz/,Land discuss want cause alone chance Mr.,6880,31745,1735
836,Facebook,2025-05-18,http://www.williams-roberts.info/,Avoid near plan foot.,368173,27464,1508
631,YouTube,2025-06-02,https://www.long.com/,Budget trouble study their easy.,269819,29903,4343
983,YouTube,2025-06-22,https://johnson.org/,Property sure think help.,225638,3885,184
950,Twitter,2025-07-04,https://www.jones-guerra.com/,Now theory business.,93861,47786,4181
474,Twitter,2025-06-26,http://chambers-lynch.biz/,Down certainly lay dinner executive use energy.,425087,15042,4791
743,Twitter,2025-07-01,http://www.davis.org/,True face good eye behind together growth.,809091,21499,1848
759,Twitter,2025-07-03,http://www.rowland.info/,Beyond onto team heavy onto she.,339081,20490,310
175,YouTube,2025-07-14,https://www.rodgers-young.com/,Manage know throw.,46488,260,1572
872,Twitter,2025-05-06,http://garrison.org/,Floor guy pretty surface watch.,754598,3334,2939
709,Twitter,2025-05-18,https://hall-frank.com/,Resource young simply assume major.,28882,28936,4664
1,Facebook,2025-06-14,https://lopez.com/,Stock fight remain.,92924,22320,1140
874,YouTube,2025-06-03,http://wright-solis.com/,Minute upon catch despite bag idea people.,327143,27502,1018
781,Facebook,2025-07-04,http://wells.com/,Mission according PM night.,491689,46196,812
226,Twitter,2025-05-15,http://www.butler.com/,Interview of state.,471510,14093,2707
976,Instagram,2025-07-07,https://meadows.info/,View opportunity in middle agency.,202361,12141,1414
720,Facebook,2025-07-11,https://www.stevens-baker.com/,Parent inside ready minute.,46166,6726,4473
570,YouTube,2025-04-26,http://www.sanford-gibson.com/,Defense why box a suggest.,668036,12619,1694
928,Twitter,2025-05-17,http://www.johnson-burton.net/,Game will friend bank.,359772,11469,2824
922,Facebook,2025-05-10,http://www.mcdonald.com/,Development consider hot value skin.,209923,33187,2487
230,Facebook,2025-07-07,http://www.smith-moore.org/,Allow artist direction environmental detail boy.,255012,16893,3521
839,YouTube,2025-04-29,http://morris.com/,From total person born learn.,20548,35417,785
192,Facebook,2025-06-13,http://www.clay-kline.biz/,President wind husband it.,798104,27677,3931
997,Twitter,2025-05-21,https://www.ramos.info/,Certainly generation hot week thing board control.,604208,22003,1655
198,YouTube,2025-05-15,https://kennedy.info/,All relate trial west personal growth else far.,155239,36463,1903
904,Twitter,2025-05-06,http://www.mueller.com/,Run season sure.,691757,44169,3474
246,Twitter,2025-06-30,http://miranda-thornton.com/,Year song maintain research door again eight likely.,689303,45911,3009
511,Twitter,2025-05-18,http://smith.com/,Business trouble example.,68372,39695,1757
990,Facebook,2025-06-03,http://www.becker-manning.com/,Carry listen model health find.,10105,27646,656
716,Instagram,2025-05-02,http://burton-lopez.info/,Paper film team responsibility western enough grow.,116874,17150,1933
489,Twitter,2025-07-15,http://www.benson.com/,Where according do.,420948,21953,584
207,Instagram,2025-05-16,http://sims.biz/,Answer next top.,119162,2689,3741
720,Facebook,2025-06-12,https://navarro-davis.org/,Letter forward man general station.,231558,16367,67
490,Facebook,2025-05-31,https://www.pearson.com/,Yet for available floor.,801535,45196,3960
386,Instagram,2025-06-04,http://www.short.com/,Trial red miss investment measure still value.,697996,5836,1997
281,Twitter,2025-05-27,https://www.porter.com/,Can Democrat policy factor red political new.,214881,19340,4049
38,Twitter,2025-07-09,http://alexander.biz/,Miss do look gun place.,119921,19418,3252
165,Facebook,2025-05-14,http://www.lyons-blake.org/,Stuff risk deal billion.,354221,26434,1101
627,Instagram,2025-05-08,http://www.becker.com/,South close real forget daughter language less.,268307,48965,2695
742,YouTube,2025-05-18,https://www.quinn.info/,Determine state region admit model set teacher.,67983,17724,3342
630,YouTube,2025-05-29,http://parrish-foster.com/,Idea capital must do significant although view.,24352,44479,2612
976,Instagram,2025-06-14,https://foster.org/,Pressure two be account near skin.,80465,33312,3475
520,Instagram,2025-07-19,http://bell.com/,Tree anything west cause force.,178035,33631,2837
266,Twitter,2025-05-28,https://woods.com/,Sort source community right war.,216446,4646,3443
200,Twitter,2025-04-27,http://www.garcia.org/,Director laugh finally behind entire ten country.,432339,37656,3636
464,Instagram,2025-05-06,http://wilson-lee.com/,Account lot born society sea them.,115244,13206,4868
224,Facebook,2025-05-25,http://mitchell.com/,Fine consumer whom.,714242,46975,3130
829,Facebook,2025-07-11,https://www.brewer.com/,Most majority image stay.,316518,18487,660
190,YouTube,2025-07-12,http://alvarez.biz/,Other cost matter girl store share add.,681094,32014,3504
149,Instagram,2025-05-26,http://lee.biz/,Threat condition point may.,158386,19653,2681
386,Instagram,2025-07-05,http://hess.com/,Reach financial clearly rich resource sense new.,531249,18998,686
88,Twitter,2025-06-13,https://clark-caldwell.biz/,Financial support pay theory training public.,144268,540,4733
335,Twitter,2025-06-25,http://murphy.com/,Eye night middle.,86623,14006,4230
598,Instagram,2025-05-07,http://cooper.info/,Seven result same no he artist.,944415,43921,4186
432,Twitter,2025-07-17,http://davenport.com/,Base per claim run.,171577,45493,4669
353,Twitter,2025-07-11,https://www.taylor.com/,Sense product Congress sound make.,117874,5782,465
662,Facebook,2025-07-14,http://page-alvarez.com/,Single term return follow.,116151,16410,3411
447,Twitter,2025-07-05,https://www.cook.com/,Ten east expect radio.,10305,46294,174
118,YouTube,2025-06-15,https://www.black.com/,Radio remember case government education research yes wrong.,7808,40457,726
302,Twitter,2025-06-18,https://robinson-woods.com/,Wife carry eye else anything enjoy bad together.,533009,49194,406
797,Instagram,2025-07-20,http://shea.org/,Almost partner enter sell usually read.,14856,25176,4350
844,Instagram,2025-05-05,http://hernandez-coleman.info/,Couple state themselves Mrs to night.,344754,29021,4315
614,Twitter,2025-04-29,http://gill.com/,Rather still exist Mr do myself.,30926,17195,2468
1000,Instagram,2025-07-12,http://horton.net/,Change region teach many cell.,70938,33520,4933
369,YouTube,2025-05-21,http://rivera.org/,Market last like instead source past.,719511,5616,2361
202,Instagram,2025-05-31,http://mcintosh.com/,Indicate bar plan writer west organization.,64910,44546,2875
711,YouTube,2025-06-03,https://chapman-combs.org/,See agreement reach couple use factor.,713940,15040,4329
315,Facebook,2025-06-23,https://www.nguyen-hudson.com/,Gas than computer which.,685168,45144,4623
971,YouTube,2025-05-09,https://www.hernandez.net/,Dream once together time officer bill.,215194,44812,4679
953,Instagram,2025-07-17,http://www.cole.info/,Before leave child eight not half usually.,172640,45006,3924
884,YouTube,2025-06-16,http://www.gay-holt.biz/,Artist just example.,563389,12423,1259
180,Facebook,2025-04-26,https://www.hall.com/,Speech stage state help travel.,499357,17590,1143
593,Twitter,2025-05-20,https://johnson.com/,Face require energy soldier significant could.,11285,4716,4287
819,Facebook,2025-05-12,https://guerra.net/,Course daughter entire else.,471278,36066,2434
629,Twitter,2025-05-29,https://www.huffman.com/,Hot citizen behavior evening fear professional.,188563,42178,3855
867,YouTube,2025-06-09,http://www.wiggins.com/,Rest degree other meeting improve.,97485,17276,3964
629,Twitter,2025-07-17,http://anderson.com/,Nearly son design easy my three beyond share.,25517,25810,1963
813,Facebook,2025-07-13,https://hart-burns.biz/,Player college above amount place office.,398482,11047,4791
489,Twitter,2025-05-29,http://www.compton.com/,Mother many Democrat fish.,483767,15487,1265
876,Facebook,2025-06-01,https://johnson-james.com/,Because soon without hold admit should already every.,84221,2911,1882
141,Facebook,2025-06-19,https://owens-pierce.com/,Region whose same best.,383588,33484,4749
843,YouTube,2025-07-02,http://www.owens.org/,Fill police specific rate practice approach lot of.,49493,2177,575
809,Instagram,2025-06-14,https://www.jones.com/,Conference it Mr appear away focus.,576698,4255,75
385,YouTube,2025-05-28,http://ruiz.com/,Story opportunity board force tonight majority sell.,167108,42969,2669
591,YouTube,2025-07-18,http://abbott-watkins.org/,Whether myself get gas threat provide security inside.,508045,41213,487
840,Facebook,2025-06-15,http://www.armstrong-buchanan.net/,Cause camera law natural.,695077,1983,244
51,Instagram,2025-06-14,http://www.freeman-gross.org/,Effort ground Mrs yet change song hundred land.,201760,6725,4375
867,YouTube,2025-06-27,http://www.duran.biz/,Teach admit remember image oil recognize military.,31072,34267,2604
853,Twitter,2025-06-28,https://www.martin.com/,Particular happy catch deal tree.,362817,26622,1820
503,Facebook,2025-07-20,https://www.olson-mcknight.biz/,Market training gas fall radio.,243613,17797,3452
747,YouTube,2025-07-21,http://aguilar.com/,Professional believe in usually side.,21934,20128,524
14,YouTube,2025-06-17,https://dunn.net/,Important involve type hot remain institution tend.,114007,11113,2177
373,Facebook,2025-05-28,https://barnes-simmons.biz/,Top seven record present pattern.,77233,6624,2106
73,Twitter,2025-06-06,http://www.murray-hamilton.net/,Down baby black.,369259,4751,4025
658,YouTube,2025-06-09,http://walker.info/,Around our prevent hard enough.,264880,3440,4606
616,Instagram,2025-05-10,https://howard.com/,Newspaper similar one instead feel despite drug.,480614,40742,4288
703,YouTube,2025-05-05,https://www.campbell.net/,Conference community service which seek often president.,199718,6654,314
932,Twitter,2025-05-21,http://www.briggs.com/,Wait interest strong two myself.,362498,34213,4251
292,Instagram,2025-06-11,https://www.morris.com/,Member consider outside leave past before forget.,52465,45388,4614
739,Instagram,2025-06-27,http://ramirez-miller.com/,Trip clear become best painting kid series school.,56741,19454,4572
256,Twitter,2025-07-15,https://brooks-sanchez.com/,Interview other fall main how already.,185823,22714,1657
957,YouTube,2025-05-12,https://www.carey.info/,Different news little research front century effort.,68959,27088,1518
858,YouTube,2025-07-02,https://stone.info/,Hotel future explain.,63172,39570,1523
40,Twitter,2025-07-05,http://www.freeman.com/,Turn little ten life so responsibility place.,940347,16225,1990
128,Twitter,2025-04-26,https://www.miranda.com/,Stock finally easy.,474124,42908,1514
446,Twitter,2025-05-21,https://www.johnson.org/,Fine blood daughter short mean staff.,17068,14337,3876
545,YouTube,2025-04-24,http://www.valencia-nguyen.com/,Form develop give heart since.,440766,30349,4917
113,Facebook,2025-06-10,https://www.hernandez-blair.org/,Stock hour hope.,392682,27841,934
764,Facebook,2025-07-14,https://www.morris.com/,Rule work level use like.,198711,41461,507
840,Facebook,2025-07-15,http://thompson.biz/,Moment arm case life goal decision world stay.,36830,29942,4390
14,YouTube,2025-05-24,https://www.mcgrath.com/,Lawyer international another effort adult treat.,120332,1111,1728
616,Instagram,2025-05-21,http://morales-moore.com/,Moment major drive during kind me owner.,530442,111,1288
170,YouTube,2025-07-17,https://ruiz.org/,Build bed up person age.,27268,32491,957
780,Instagram,2025-05-26,https://torres.com/,Door those second test model mention doctor.,308766,7225,1573
824,Twitter,2025-05-31,http://irwin.com/,Bar charge coach many.,333699,17725,634
892,Instagram,2025-04-29,https://smith.com/,Audience test still prevent such follow clearly eat.,33523,11113,1539
832,Instagram,2025-07-16,http://glenn.com/,Marriage everything strong then city.,21198,28779,1267
421,Instagram,2025-05-08,http://www.duffy.com/,Just hear friend only fire long.,196564,48342,381
670,Instagram,2025-06-08,https://zimmerman.com/,To act risk which popular.,155644,36644,3975
663,Twitter,2025-05-15,http://warner.com/,Finish assume continue Mr.,82934,16747,1366
874,YouTube,2025-05-11,https://graham.com/,Should customer land Mrs.,367247,25038,2394
761,Facebook,2025-05-01,http://www.crawford.org/,Debate another wear others begin animal positive.,67208,18543,972
409,Facebook,2025-06-06,http://perez.com/,Personal any travel.,277028,315,2849
677,Instagram,2025-05-26,http://brown.com/,Man prove page popular could particularly visit.,155597,47581,2299
720,Facebook,2025-07-01,https://www.hall.biz/,Week subject right police artist popular suddenly.,194382,45924,3077
634,YouTube,2025-05-07,https://www.williamson-may.biz/,Study set fine beat according.,32135,4404,1392
388,Instagram,2025-05-29,http://phillips-woodward.com/,Day stand wonder.,41686,18787,1075
328,Facebook,2025-05-15,https://smith-clark.com/,Save accept house he attack serious great civil.,38549,32058,2497
413,Twitter,2025-06-09,http://www.spencer.com/,Approach rate game environment.,120650,45959,3906
934,YouTube,2025-06-26,https://www.porter.info/,Soldier candidate hair she per arm clear.,33937,49343,1996
102,Twitter,2025-04-23,https://miranda-deleon.com/,Allow training such treatment sit.,459387,11944,1879
15,Instagram,2025-05-25,https://www.kim.com/,Task prevent surface base.,188292,4843,4514
87,Twitter,2025-04-24,http://davis-james.com/,Thousand anyone voice especially feeling.,330405,37596,1013
750,Instagram,2025-07-18,http://www.thompson-cantrell.biz/,Sell two most create.,358075,46075,3808
749,Facebook,2025-07-17,http://www.cook-cooley.com/,Gun artist skill town member history production.,196866,13012,4780
724,Instagram,2025-05-09,http://taylor.org/,Attorney financial theory administration trial.,232211,36304,2089
124,Facebook,2025-07-05,https://www.bishop.org/,Leg through ten plan movement.,88921,7894,2125
116,Twitter,2025-05-23,http://osborn.com/,Drop until threat growth.,375512,8653,454
99,Instagram,2025-06-09,https://www.reid.com/,Information take toward kitchen.,24162,7752,4639
304,Instagram,2025-06-25,http://fox.biz/,Feeling reveal meeting street performance paper avoid.,139241,4978,4382
563,Twitter,2025-06-16,http://morgan.com/,Sister certain hold nice.,848298,34444,3610
129,YouTube,2025-05-12,https://www.howard.biz/,Morning street marriage.,540154,39709,4307
873,YouTube,2025-07-08,http://www.carey.com/,Finally cultural individual fire source mind.,157938,11767,775
573,Facebook,2025-06-19,https://johnson-perkins.com/,Message likely sometimes end break theory sign support.,330315,35575,1931
424,Instagram,2025-06-12,https://baldwin.com/,Begin work avoid why task.,527105,47374,1139
778,Facebook,2025-06-08,https://www.lee-rose.com/,Large boy pass skin whose whose wish play.,32627,12009,3159
115,Facebook,2025-06-09,http://www.dunn.com/,Today field executive image next break news.,111946,43761,3983
652,Instagram,2025-07-17,https://www.boyd-henry.com/,Sign east really collection step second.,714116,20135,4011
306,Facebook,2025-05-05,https://jennings.com/,Evidence body thought financial role simply police this.,72597,48576,4759
216,Twitter,2025-06-19,http://www.jarvis.com/,Meet clearly cost total.,758283,26550,3490
534,Facebook,2025-05-18,https://nguyen-jones.com/,Test around morning society rock share.,193276,49890,600
399,Twitter,2025-05-05,http://mendoza.com/,State beat stand house open heart whole majority.,10010,12786,1971
583,Facebook,2025-06-12,https://www.torres-martinez.org/,Change table local area.,26497,13357,1763
302,Twitter,2025-05-05,http://miller.org/,Enter party weight friend total least.,9182,14673,593
427,Facebook,2025-07-08,https://yu-thompson.com/,Possible she exist reflect far sport.,138699,9252,2456
564,Instagram,2025-05-24,http://www.daniels.com/,Suggest send baby attack treat face.,62769,9354,4174
